AcSession,id
S21-26917 D.ome_resized_multichannel.tif,1
S21-26917 E.ome_resized_multichannel.tif,1
S21-26917 F.ome_resized_multichannel.tif,1
S21-26917 G.ome_resized_multichannel.tif,1
S21-26917 H.ome_resized_multichannel.tif,1
S21-26917 I.ome_resized_multichannel.tif,1
S21-26917 J.ome_resized_multichannel.tif,1
S21-29214 D.ome_resized_multichannel.tif,1
S21-29214 E.ome_resized_multichannel.tif,1
S21-29214 G.ome_resized_multichannel.tif,1
S21-29214 H.ome_resized_multichannel.tif,1
S21-29214 I.ome_resized_multichannel.tif,1
S21-29214 J.ome_resized_multichannel.tif,1
